sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,delta_mu
1000,NA,0.9065500000000001,0.008338086363820324,20,0.0018644527911766287,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.02
1000,NA,0.9733999999999999,0.004222745427724534,20,9.442345828068482e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.03
1000,NA,0.9954,0.0024580694178883366,20,5.496410311811657e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.05
1000,0.05,3.5e-4,9.880869341680845e-4,20,2.2094295524791962e-4,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.07,0.009899999999999999,0.005883965723181853,20,0.001315694733431333,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.1,0.26585,0.03727320894775707,20,0.008334542894673821,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.15,0.8905500000000001,0.020267877099125697,20,0.0045320350953256304,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.18,0.98755,0.008696490520228327,20,0.0019445943968913048,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.2,0.9981,0.001552586975273681,20,3.4716900176927357e-4,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,NA,0.6455500000000001,0.016784939991740105,20,0.003753226681978563,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.01
1000,NA,0.8986000000000001,0.010485077114893498,20,0.0023445345178229235,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.02
1000,NA,0.9677,0.005429936512180952,20,0.0012141707154744723,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.03
1000,NA,0.99475,0.001915999120975517,20,4.284304279331099e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.05
1000,NA,0.7042999999999999,0.013765326386479745,20,0.003078020553264025,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.01
1000,NA,0.93105,0.00853768734864176,20,0.0019090849282202922,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.02
1000,NA,0.9789,0.004482715342524583,20,0.0010023656229666222,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.03
1000,NA,0.9971,0.0015861240410775614,20,3.546681176596096e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.05
